datetime,kasa1_W,kasa2_W,kasa3_W,kasa4_W
2025-07-16 03:59:38,8.599,0.966,0.786,0.837
2025-07-16 04:04:49,3.327,0.939,0.789,0.831
2025-07-16 04:09:59,10.78,0.949,0.738,0.831
2025-07-16 04:15:10,3.497,1.002,0.777,0.829
2025-07-16 04:20:21,4.751,0.96,0.812,0.817
2025-07-16 04:25:32,3.396,0.897,0.796,0.806
2025-07-16 04:30:43,3.76,0.933,0.791,0.84
2025-07-16 04:35:54,8.841,0.891,0.808,0.817
2025-07-16 04:41:05,4.452,0.963,0.813,0.86
2025-07-16 04:46:15,5.752,1.181,0.791,1.186
2025-07-16 04:51:26,5.099,1.051,1.219,1.146
2025-07-16 04:56:37,4.222,0.979,0.983,0.969
2025-07-16 05:01:48,7.403,0.988,0.825,0.817
2025-07-16 05:06:59,5.598,0.945,0.798,0.818
2025-07-16 05:12:10,8.33,0.889,0.818,0.815
2025-07-16 05:17:20,8.741,1.043,1.066,1.04
2025-07-16 05:22:31,3.73,0.921,0.804,0.828
2025-07-16 05:27:42,7.848,0.915,0.797,0.837
2025-07-16 05:32:53,6.912,0.962,0.809,0.807
2025-07-16 05:38:03,4.084,0.987,0.777,0.806
2025-07-16 05:43:14,3.41,0.877,0.805,0.943
2025-07-16 05:48:25,6.657,0.904,0.847,0.84
2025-07-16 05:53:36,9.848,0.879,0.779,0.833
2025-07-16 05:58:47,8.116,0.997,0.803,0.829
2025-07-16 06:03:57,5.666,0.924,0.788,0.808
2025-07-16 06:09:08,4.117,0.934,0.821,0.829
2025-07-16 06:14:19,9.014,0.878,0.801,0.842
2025-07-16 06:19:30,3.95,0.99,0.814,0.849
2025-07-16 06:24:41,7.195,0.866,0.804,0.824
2025-07-16 06:29:52,9.271,0.854,0.781,0.822
2025-07-16 06:35:03,4.039,0.929,0.798,0.82
2025-07-16 06:40:14,11.048,1.011,0.819,0.836
2025-07-16 06:45:25,3.924,0.863,0.786,0.834
2025-07-16 06:50:35,3.534,0.947,0.834,0.919
2025-07-16 06:55:46,8.195,0.897,0.837,0.836
2025-07-16 07:00:57,9.651,0.908,0.807,0.808
2025-07-16 07:06:08,3.521,0.888,0.81,0.825
2025-07-16 07:11:19,9.261,0.852,0.783,0.783
2025-07-16 07:16:30,6.257,0.873,0.746,0.839
2025-07-16 07:21:40,11.155,0.943,0.801,0.817
2025-07-16 07:26:51,4.001,0.858,0.795,0.812
2025-07-16 07:32:02,5.039,0.987,0.806,0.819
2025-07-16 07:37:13,7.734,0.845,0.797,0.793
2025-07-16 07:42:23,4.06,0.904,0.807,0.82
2025-07-16 07:47:34,13.612,0.969,0.847,0.829
2025-07-16 07:52:45,5.675,0.959,0.794,0.808
2025-07-16 07:57:56,6.48,0.983,0.825,0.849
2025-07-16 08:03:07,8.034,0.956,0.929,0.852
2025-07-16 08:08:18,3.474,1.184,1.045,0.954
2025-07-16 08:13:28,8.56,0.863,0.835,0.801
2025-07-16 08:18:39,10.213,1.006,0.813,0.835
2025-07-16 08:23:50,5.271,0.985,0.764,0.802
2025-07-16 08:29:01,5.678,1.192,1.081,1.163
2025-07-16 08:34:11,3.64,1.435,0.784,0.835
2025-07-16 08:39:29,3.365,0.965,0.819,0.767
2025-07-16 08:44:40,9.733,0.986,0.774,0.82
2025-07-16 08:49:51,6.63,0.946,0.783,0.817
2025-07-16 08:55:02,3.992,0.907,0.819,0.818
2025-07-16 09:00:13,7.839,0.951,0.826,0.818
2025-07-16 09:05:23,4.926,1.003,0.826,0.826
2025-07-16 09:10:34,3.787,1.019,0.81,0.815
2025-07-16 09:15:45,7.343,0.995,0.8,0.812
2025-07-16 09:20:56,3.889,0.965,0.81,0.813
2025-07-16 09:26:07,5.935,0.961,0.802,0.836
2025-07-16 09:31:18,8.027,0.965,0.831,0.835
2025-07-16 09:36:28,8.413,0.932,0.784,0.889
2025-07-16 09:41:39,3.511,0.963,0.799,0.841
2025-07-16 09:46:50,8.495,0.951,0.808,0.836
2025-07-16 09:52:01,8.57,0.882,0.793,0.834
2025-07-16 09:57:12,3.76,0.85,0.83,0.817
2025-07-16 10:02:22,3.531,0.96,0.796,0.816
2025-07-16 10:07:33,9.027,0.977,0.816,0.855
2025-07-16 10:12:44,6.656,0.95,0.798,0.835
2025-07-16 10:17:55,8.381,0.923,0.814,0.936
2025-07-16 10:23:06,4.531,0.892,0.801,0.79
2025-07-16 10:28:17,9.488,0.958,0.808,0.848
2025-07-16 10:33:28,7.627,1.017,0.825,0.835
2025-07-16 10:38:38,5.458,0.983,0.796,0.827
2025-07-16 10:43:49,8.739,0.983,0.811,0.798
2025-07-16 10:49:00,3.705,0.969,0.833,0.811
2025-07-16 10:54:11,3.901,0.921,0.81,0.833
2025-07-16 10:59:22,3.454,0.93,0.81,0.816
2025-07-16 11:04:32,4.196,0.915,0.804,0.836
2025-07-16 11:09:43,3.886,0.947,0.829,0.83
2025-07-16 11:14:54,8.561,0.945,0.827,0.813
2025-07-16 11:20:05,3.676,1.064,0.84,0.798
2025-07-16 11:25:16,9.733,1.001,0.797,0.813
2025-07-16 11:30:26,7.741,0.936,0.785,0.824
2025-07-16 11:35:37,4.468,0.896,0.774,0.861
2025-07-16 11:40:48,3.554,1.011,0.815,0.84
2025-07-16 11:45:59,9.288,0.916,0.801,0.823
2025-07-16 11:51:10,7.97,0.994,0.804,0.828
2025-07-16 11:56:21,8.027,0.973,0.834,1.022
2025-07-16 12:01:31,6.584,1.019,0.795,0.833
2025-07-16 12:06:42,5.348,0.908,0.839,0.828
2025-07-16 12:11:53,3.373,0.979,0.824,0.806
2025-07-16 12:17:04,3.573,0.929,0.825,0.829
2025-07-16 12:22:14,8.603,0.926,0.826,0.817
2025-07-16 12:27:25,8.192,0.976,0.796,0.807
2025-07-16 12:32:36,8.552,0.864,0.96,0.828
2025-07-16 12:37:47,3.716,0.988,0.813,0.848
2025-07-16 12:42:58,4.421,0.863,0.827,0.799
2025-07-16 12:48:09,3.991,1.009,0.981,0.939
2025-07-16 12:53:20,3.525,0.937,0.792,0.819
2025-07-16 12:58:30,8.18,0.94,0.79,0.8
2025-07-16 13:03:41,4.262,0.806,0.817,0.84
2025-07-16 13:08:52,8.095,0.948,0.832,0.82
2025-07-16 13:14:03,4.175,0.978,0.806,0.81
2025-07-16 13:19:14,3.453,0.928,0.825,0.802
2025-07-16 13:24:24,4.275,0.933,0.954,0.828
2025-07-16 13:29:35,8.34,0.913,0.773,0.826
2025-07-16 13:34:46,8.003,0.883,0.825,0.829
2025-07-16 13:39:57,7.888,0.922,0.827,0.801
2025-07-16 13:45:08,9.522,0.829,0.825,0.833
2025-07-16 13:50:18,5.761,1.036,0.993,0.912
2025-07-16 13:55:29,10.104,0.935,0.804,0.846
2025-07-16 14:00:40,4.149,0.944,0.812,0.831
2025-07-16 14:05:51,7.809,0.864,0.802,0.816
2025-07-16 14:11:02,9.064,0.964,0.801,0.818
2025-07-16 14:16:13,10.085,0.877,0.848,0.787
2025-07-16 14:21:23,8.05,0.938,0.829,0.821
2025-07-16 14:26:34,9.836,0.945,0.793,0.846
2025-07-16 14:31:45,3.585,0.869,0.798,0.817
2025-07-16 14:36:56,7.135,0.948,0.817,0.844
2025-07-16 14:42:07,5.433,0.957,0.83,0.805
2025-07-16 14:47:18,7.121,0.972,0.806,0.813
2025-07-16 14:52:29,3.552,0.888,0.986,0.834
2025-07-16 14:57:40,4.081,0.99,0.816,0.978
2025-07-16 15:02:51,3.87,0.929,0.79,0.803
2025-07-16 15:08:02,6.716,0.926,0.807,0.812
2025-07-16 15:13:12,3.535,0.963,0.788,0.819
2025-07-16 15:18:23,10.538,0.921,0.806,0.798
2025-07-16 15:23:34,6.708,0.901,0.825,0.813
2025-07-16 15:28:45,4.987,0.864,0.79,0.805
2025-07-16 15:33:56,7.918,0.969,0.81,0.809
2025-07-16 15:39:07,9.01,0.911,0.925,0.829
2025-07-16 15:44:17,9.068,0.964,0.829,0.783
2025-07-16 15:49:28,9.89,0.947,0.817,0.797
2025-07-16 15:54:39,7.781,0.9,0.863,0.823
2025-07-16 15:59:50,8.1,0.857,0.808,0.816
2025-07-16 16:05:01,6.759,0.908,0.861,0.84
2025-07-16 16:10:12,3.758,0.9,0.803,0.839
2025-07-16 16:15:22,7.916,0.969,0.806,0.809
2025-07-16 16:20:33,3.989,0.945,0.797,0.822
2025-07-16 16:25:44,7.588,0.97,0.83,0.836
2025-07-16 16:30:55,8.314,0.936,0.845,0.787
2025-07-16 16:36:06,8.288,1.165,1.113,1.11
2025-07-16 16:41:17,6.989,1.002,0.876,0.783
2025-07-16 16:46:27,3.681,0.941,0.79,0.833
2025-07-16 16:51:38,24.243,1.012,0.831,0.864
2025-07-16 16:56:49,5.158,0.968,0.831,0.839
2025-07-16 17:02:00,6.502,0.976,0.813,0.814
2025-07-16 17:07:11,3.381,0.9,0.83,0.807
2025-07-16 17:12:22,7.101,0.837,0.815,0.793
2025-07-16 17:17:33,3.705,0.848,0.799,0.811
2025-07-16 17:22:44,8.63,0.918,0.806,0.804
2025-07-16 17:27:54,3.665,0.968,1.036,0.951
2025-07-16 17:33:05,7.265,0.958,0.829,0.815
2025-07-16 17:38:16,8.266,0.984,0.81,0.816
2025-07-16 17:43:27,3.788,0.947,0.812,0.831
2025-07-16 17:48:38,8.119,0.876,0.817,0.821
2025-07-16 17:53:48,3.361,0.954,0.808,0.813
2025-07-16 17:58:59,3.593,0.987,0.808,0.854
2025-07-16 18:04:10,3.568,0.901,0.811,0.82
2025-07-16 18:09:21,8.787,0.941,0.78,0.841
2025-07-16 18:14:32,5.666,0.998,0.773,0.856
2025-07-16 18:19:43,8.882,0.965,0.814,0.829
2025-07-16 18:24:53,6.832,0.952,0.82,0.787
2025-07-16 18:30:04,6.578,0.978,0.797,0.804
2025-07-16 18:35:15,3.841,0.95,0.813,0.831
2025-07-16 18:40:26,5.646,0.992,0.78,0.829
2025-07-16 18:45:37,6.851,0.934,0.802,0.798
2025-07-16 18:50:47,7.855,0.948,0.932,0.805
2025-07-16 18:55:58,3.427,0.917,0.829,0.846
2025-07-16 19:01:09,7.786,0.926,0.809,0.838
2025-07-16 19:06:20,5.396,1.055,1.047,0.965
2025-07-16 19:11:31,3.716,0.869,0.803,0.833
2025-07-16 19:16:42,5.238,1.019,0.831,0.87
2025-07-16 19:21:53,6.673,1.188,1.041,0.982
2025-07-16 19:27:03,4.007,0.872,0.801,0.813
2025-07-16 19:32:14,5.644,0.909,0.794,0.822
2025-07-16 19:37:25,9.597,0.86,0.83,0.801
2025-07-16 19:42:36,3.936,0.942,0.799,0.829
2025-07-16 19:47:47,8.347,0.916,0.782,0.818
2025-07-16 19:52:57,7.507,0.89,0.786,0.978
2025-07-16 19:58:08,8.706,0.851,0.849,0.826
2025-07-16 20:03:19,4.705,0.869,0.809,0.807
2025-07-16 20:08:30,9.835,0.99,0.878,0.833
2025-07-16 20:13:40,3.486,0.913,0.84,0.837
2025-07-16 20:18:51,9.77,0.872,0.878,0.83
2025-07-16 20:24:02,9.147,0.862,0.817,0.818
2025-07-16 20:29:13,3.5,0.988,0.818,0.836
2025-07-16 20:34:24,6.556,0.92,0.823,0.803
2025-07-16 20:39:35,4.758,0.858,0.826,0.813
2025-07-16 20:44:45,11.579,0.973,0.844,0.825
2025-07-16 20:49:56,3.386,0.924,0.798,0.938
2025-07-16 20:55:07,8.219,0.905,0.784,0.834
2025-07-16 21:00:18,5.591,0.817,0.793,0.804
2025-07-16 21:05:29,9.893,1.003,0.93,0.955
2025-07-16 21:10:40,5.64,0.998,0.825,0.82
2025-07-16 21:15:50,5.596,0.882,0.788,0.785
2025-07-16 21:21:01,6.603,0.914,0.831,0.798
2025-07-16 21:26:12,8.438,1.005,0.84,0.826
2025-07-16 21:31:23,3.623,0.976,0.826,0.802
2025-07-16 21:36:34,7.932,0.979,0.802,0.825
2025-07-16 21:41:44,8.329,0.869,0.776,0.81
2025-07-16 21:46:55,3.465,0.846,0.807,0.811
2025-07-16 21:52:06,4.241,0.963,0.814,0.81
2025-07-16 21:57:17,5.129,0.979,0.815,0.827
2025-07-16 22:02:28,4.306,0.966,0.789,0.813
2025-07-16 22:07:38,11.003,0.931,0.819,0.824
2025-07-16 22:12:49,4.809,0.878,0.781,0.801
2025-07-16 22:18:00,3.409,0.958,0.849,0.817
2025-07-16 22:23:11,5.503,0.91,0.807,0.845
2025-07-16 22:28:22,3.508,0.976,0.801,0.828
2025-07-16 22:33:32,4.358,0.993,0.803,0.827
2025-07-16 22:38:43,3.327,0.95,0.818,0.812
2025-07-16 22:43:54,6.79,0.89,0.81,0.851
2025-07-16 22:49:05,8.347,0.963,0.843,0.796
2025-07-16 22:54:16,9.869,0.954,0.812,0.867
2025-07-16 22:59:27,7.686,1.007,0.812,0.812
2025-07-16 23:04:37,6.755,0.857,1.145,0.849
2025-07-16 23:09:48,8.989,0.968,0.811,0.833
2025-07-16 23:14:59,8.842,0.953,0.811,0.832
2025-07-16 23:20:10,7.95,0.889,0.8,0.791
2025-07-16 23:25:21,8.342,0.888,0.831,0.808
2025-07-16 23:30:31,3.704,0.95,0.799,0.831
2025-07-16 23:35:42,7.466,1.004,0.783,0.851
2025-07-16 23:40:53,9.385,0.873,0.799,0.8
2025-07-16 23:46:04,5.819,0.965,0.845,0.811
2025-07-16 23:51:15,7.51,0.847,0.832,0.84
2025-07-16 23:56:26,8.676,0.956,0.809,0.827
