datetime,kasa1_W,kasa2_W,kasa3_W,kasa4_W
2025-07-16 00:04:12,7.915,0.931,0.808,0.833
2025-07-16 00:09:23,3.878,1.002,0.834,0.782
2025-07-16 00:14:34,4.918,0.853,0.849,0.905
2025-07-16 00:19:45,4.227,0.947,0.834,0.842
2025-07-16 00:24:55,8.728,0.881,0.829,0.842
2025-07-16 00:30:06,4.39,0.997,0.827,0.961
2025-07-16 00:35:17,6.987,0.931,0.804,0.823
2025-07-16 00:40:28,4.219,0.892,0.796,0.815
2025-07-16 00:45:39,3.673,0.954,0.835,0.808
2025-07-16 00:50:50,8.541,0.864,0.805,0.806
2025-07-16 00:56:00,8.705,0.984,0.898,0.831
2025-07-16 01:01:11,6.692,0.998,0.794,0.838
2025-07-16 01:06:22,4.089,0.878,0.812,0.815
2025-07-16 01:11:33,8.76,0.846,0.819,0.803
2025-07-16 01:16:44,8.429,0.815,0.782,0.844
2025-07-16 01:21:55,7.265,0.974,0.846,0.846
2025-07-16 01:27:05,3.599,0.964,0.774,0.843
2025-07-16 01:32:16,6.851,0.94,0.836,0.799
2025-07-16 01:37:27,5.321,1.0,0.826,0.789
2025-07-16 01:42:38,8.054,1.011,0.85,0.798
2025-07-16 01:47:49,7.16,0.958,0.931,0.96
2025-07-16 01:52:59,5.448,0.964,0.81,0.823
2025-07-16 01:58:10,5.281,0.953,0.792,0.848
2025-07-16 02:03:21,5.58,0.943,0.815,0.823
2025-07-16 02:08:32,7.988,0.857,0.808,0.787
2025-07-16 02:13:43,7.034,0.86,0.961,0.972
2025-07-16 02:18:54,5.8,0.926,0.782,0.822
2025-07-16 02:24:04,7.748,0.827,0.763,0.971
2025-07-16 02:29:15,6.913,0.989,0.8,0.792
2025-07-16 02:34:26,5.801,0.912,0.817,0.965
2025-07-16 02:39:37,7.015,0.963,0.791,0.898
2025-07-16 02:44:48,5.678,1.192,0.992,1.037
2025-07-16 02:49:59,7.84,0.878,0.86,0.82
2025-07-16 02:55:10,11.966,0.827,0.808,0.819
2025-07-16 03:02:16,4.247,1.338,0.893,0.837
2025-07-16 03:07:49,4.875,0.961,0.769,0.812
2025-07-16 03:13:00,4.234,0.997,0.789,0.798
2025-07-16 03:18:11,3.499,0.87,0.833,0.839
2025-07-16 03:23:22,3.524,0.97,0.791,0.799
2025-07-16 03:28:32,7.693,0.927,0.791,0.845
2025-07-16 03:33:43,7.938,0.944,0.799,0.794
2025-07-16 03:38:54,10.096,1.024,0.82,0.838
2025-07-16 03:44:05,5.625,0.885,0.786,0.794
2025-07-16 03:49:16,6.22,0.966,0.781,0.825
2025-07-16 03:54:27,8.582,1.007,0.787,0.829
